Worker,Time (seconds),Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Would you kill another person if your life depended on it?,Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often you remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married
AIA0NHIZD1UPX,519,"Namakkal, Tamilnadu/India",Male,31-35,Would,I will be reincarnated,Exercise,Sometimes,Prayer,Good,I do,1,No,Married,Computer,A little of both,Appearance,Somewhat Strict,Better health,Some of my time,Somewhat pessimistic,2,Both about equally,Would,Middle,Mother or father,Neither trustworthy or untrustworthy,Do,Less,School,Yes,Somewhat scary,Money,No,Barack Obama,6-8 hours,By my Child/Children,Seldom,Seldom,Being naked in public,Would,Yes,Yes,Yes,Yes,Yes,Yes,No,Personality,21-30
A3NHMKVK98NY7I,326,Ludhiana,Male,Under 20,Would,My spirit will return to some universal entity,Genes,Constantly,Work,Bad,I do,1,No,Single,Computer,A little of both,Immunity,Somewhat Lenient,More Free time,Not much of my time,Exactly in the middle,1,Neither,Would,I don't have siblings,I don't have a pet,Very untrustworthy,Do not,More,Home,Yes,Neither safe nor scary,Other,Yes,Barack Obama,6-8 hours,Naturally,Never,Often,Flying,Would,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Intelligence,I'm not married
A1DHIJZ4IFR77I,497,Kottayam,Female,21-25,Would,Nothing. Game over.,Religion,Sometimes,Family/friends,Bad,I do,3,Yes,Single,Computer,A little of both,Nothing,Somewhat Strict,Nothing - I'm all good,Some of my time,Somewhat optimistic,3,Mom,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Very safe,Other,No,Mitt Romney,6-8 hours,With an Alarm clock,Seldom,Seldom,Other,Would not,No,No,No,No,Yes,Yes,I don't have a pet,Personality,I'm not married
A232UCDEI33H4H,448,"Indore, India",Female,41-45,Would,I will go to heaven or hell,Exercise,Never,Family/friends,Bad,I do not,2,No,Married,TV,Somewhat Obedient,Intelligence,Exactly in the middle,More Money,Not much of my time,Exactly in the middle,1,Dad,Would not,Oldest,I don't have a pet,Somewhat trustworthy,Do not,Less,Home,Yes,Very safe,Jewelry,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Never,Flying,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A16TIQ02HAAP5U,310,"Kochi, kerala",Male,41-45,Would,Nothing. Game over.,Proper diet,Once in a while,Family/friends,Bad,I do,3,No,Married,Newspapers/Magazines,A little of both,Intelligence,Somewhat Strict,Better health,Some of my time,Somewhat optimistic,3,Dad,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,The same,Home,Yes,Somewhat safe,Money,No,Barack Obama,4-6 hours,With an Alarm clock,Seldom,Seldom,Being unprepared for something,Would not,No,No,Yes,Yes,No,Yes,I don't have a pet,Nothing,21-30
A3AWP8VYH984TK,720,city,Female,26-30,Would,Nothing. Game over.,Environment,Sometimes,Family/friends,Good,I do not,1,No,Married,Other people,A little of both,Intelligence,Exactly in the middle,More Money,All my time,Exactly in the middle,2,Both about equally,Would,I don't have siblings,I don't have a pet,Neither trustworthy or untrustworthy,Do,More,Work,Yes,Very scary,Photo album,No,Barack Obama,6-8 hours,Naturally,Often,Seldom,Other,Would,No,Yes,Yes,No,Yes,Yes,No,Looks,Under 20
A1A4M7Y5VIBH3U,922,Chennai/Tamil Nadu/India,Female,41-45,Would not,I will go to heaven or hell,Religion,Once in a while,Prayer,Bad,I do,4,Yes,Married,Computer,Very Obedient,Intelligence,Very Strict,Better health,None of my time,Very optimistic,5+,Both about equally,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do,The same,Home,Yes,Very safe,Other,No,Barack Obama,4-6 hours,Naturally,Seldom,Seldom,Other,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,31-40
A13BP85BXZ0S3H,539,Chennai,Male,21-25,Would,Nothing. Game over.,Religion,Sometimes,Exercise,Good,I do not,2,No,Single,Computer,Somewhat Independent,Lifespan,Somewhat Strict,Better health,Most of my time,Very pessimisitc,4,Mom,Would,I don't have siblings,I don't have a pet,Neither trustworthy or untrustworthy,Do,Less,Church/Temple/Mosque,Yes,Somewhat safe,Money,No,Barack Obama,More than 8 hours,With an Alarm clock,Seldom,Never,Other,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Nothing,I'm not married
A43K4MM4FSD7T,653,Ernakulam district KeralaState  IndiaCountry,Male,51+,Would not,My spirit will return to some universal entity,Proper diet,Constantly,Prayer,Bad,I do not,2,Yes,Married,Newspapers/Magazines,Very Independent,Intelligence,Somewhat Strict,Better health,Some of my time,Exactly in the middle,3,Mom,Would not,Middle,Mother or father,Very untrustworthy,Do not,Less,Church/Temple/Mosque,Yes,Very scary,Electronics,Yes,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Never,Being unprepared for something,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Sexual ability,I'm not married
A1WYC5I48Q5O0R,468,New Delhi,Male,21-25,Would not,Nothing. Game over.,Exercise,Sometimes,Music/Art,Good,I do not,1,No,Single,Computer,Somewhat Independent,Intelligence,Somewhat Strict,Better job,Some of my time,Somewhat optimistic,1,Neither,Would not,I don't have siblings,I don't have a pet,Somewhat trustworthy,Do not,Less,Home,Yes,Somewhat safe,Money,Yes,Barack Obama,More than 8 hours,With an Alarm clock,Seldom,Never,Other,Would not,No,No,Yes,Yes,No,No,I don't have a pet,Nothing,21-30
A11NVDK9I6B40P,257,Tiruchirapalli,Female,Under 20,Would,I will be reincarnated,Proper diet,Constantly,Music/Art,Bad,I do not,3,No,Single,Computer,Somewhat Obedient,Intelligence,Somewhat Strict,More Money,Not much of my time,Exactly in the middle,3,Dad,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do not,More,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Other,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Personality,I'm not married
A11GBTHURYJB4J,736,Koratty kerala india,Male,Under 20,Would,I will go to heaven or hell,Exercise,Sometimes,Music/Art,Bad,I do,3,Yes,Single,Newspapers/Magazines,A little of both,Immunity,Exactly in the middle,Better Romance,Some of my time,Somewhat optimistic,2,Dad,Would,Youngest,Owner/master,Somewhat trustworthy,Do not,The same,Home,Yes,Somewhat safe,Other,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Never,Other,Would not,No,No,No,No,No,Yes,Yes,Personality,21-30
A2YM7PJ6OSMSR9,458,Hyderabad,Female,26-30,Would not,I will go to heaven or hell,Proper diet,Sometimes,Prayer,Bad,I do,4,No,Married,TV,Somewhat Obedient,Immunity,Exactly in the middle,Nothing - I'm all good,Some of my time,Exactly in the middle,2,Both about equally,Would,Middle,I don't have a pet,Somewhat trustworthy,Do not,Less,Home,Yes,Very safe,Jewelry,Yes,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Other,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A30COO7XCH3TU5,768,Sodepur,Female,21-25,Would,My spirit will return to some universal entity,Exercise,Once in a while,Music/Art,Bad,I do,1,No,Single,TV,A little of both,Immunity,Exactly in the middle,Nothing - I'm all good,Some of my time,Exactly in the middle,3,Both about equally,Would,I don't have siblings,I don't have a pet,Neither trustworthy or untrustworthy,Do,The same,Home,Yes,Neither safe nor scary,Other,No,Barack Obama,4-6 hours,Naturally,Often,Often,Other,Would not,No,No,Yes,No,No,Yes,Yes,Personality,21-30
A2SZZX9U4Q6PT4,363,city,Male,21-25,Would,Nothing. Game over.,Exercise,Sometimes,Exercise,Good,I do,2,Yes,Single,Computer,A little of both,Intelligence,Somewhat Strict,Better job,All my time,Somewhat pessimistic,2,Dad,Would not,Youngest,Owner/master,Very untrustworthy,Do,More,Home,Yes,Somewhat scary,Photo album,Yes,Barack Obama,4-6 hours,Naturally,Seldom,Seldom,Falling,Would,Yes,Yes,Yes,Yes,No,Yes,No,Looks,Under 20
A10R34ORJ6GO7F,447,Alappuzha,Male,21-25,Would not,I will go to heaven or hell,Proper diet,Constantly,Prayer,Bad,I do not,2,No,Single,Computer,A little of both,Intelligence,Somewhat Strict,Better job,Not much of my time,Exactly in the middle,1,Neither,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do,The same,Church/Temple/Mosque,No,Neither safe nor scary,Other,No,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Falling,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Personality,I'm not married
A27WRQKP4D0X1K,321,Tirupur,Male,21-25,Would,I will go to heaven or hell,Exercise,Constantly,Music/Art,Bad,I do,4,No,Single,Computer,Very Obedient,Intelligence,Somewhat Lenient,More Money,Most of my time,Somewhat optimistic,4,Mom,Would,Youngest,Playmate,Very untrustworthy,Do,More,Home,Yes,Very safe,Jewelry,Yes,Barack Obama,6-8 hours,Naturally,Never,Often,Falling,Would,Yes,Yes,Yes,No,No,Yes,I don't have a pet,Intelligence,21-30
A27WRQKP4D0X1K,325,Tirupur,Male,21-25,Would,I will go to heaven or hell,Exercise,Constantly,Music/Art,Bad,I do,4,No,Single,Computer,Very Obedient,Intelligence,Somewhat Lenient,More Money,Most of my time,Somewhat optimistic,4,Mom,Would,Youngest,Playmate,Very untrustworthy,Do,More,Home,Yes,Very safe,Jewelry,Yes,Barack Obama,6-8 hours,Naturally,Never,Often,Falling,Would,Yes,Yes,Yes,No,No,Yes,I don't have a pet,Intelligence,I'm not married
A2K5XGITPRX0I8,295,Puducherry,Male,21-25,Would,Nothing. Game over.,Exercise,Sometimes,Work,Bad,I do,2,Yes,Single,Newspapers/Magazines,A little of both,Lifespan,Exactly in the middle,More Free time,Most of my time,Somewhat pessimistic,3,Both about equally,Would,Youngest,Playmate,Somewhat untrustworthy,Do,Less,Work,No,Somewhat scary,Electronics,Yes,Barack Obama,6-8 hours,By my Child/Children,Often,Seldom,Flying,Would,No,No,No,No,No,No,Yes,Intelligence,21-30
AJBQ5XEHIF9Z1,511,Namakkal and Tamil Nadu / India,Male,26-30,Would,I will go to heaven or hell,Environment,Never,Family/friends,Bad,I do not,2,No,Single,Computer,A little of both,Nothing,Exactly in the middle,More Free time,Some of my time,Exactly in the middle,1,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do not,Less,Church/Temple/Mosque,Yes,Very scary,Other,No,Barack Obama,Less than 4 hours,Naturally,Often,Never,Other,Would not,No,Yes,No,Yes,Yes,No,No,Personality,I'm not married
A2GK9RWJ05P4M8,191,Bangalore,Female,21-25,Would not,I will go to heaven or hell,Proper diet,Sometimes,Music/Art,Bad,I do,4,No,Single,Computer,A little of both,Immunity,Exactly in the middle,Better health,Some of my time,Somewhat optimistic,1,Mom,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do,Less,Home,Yes,Somewhat safe,Jewelry,No,Barack Obama,4-6 hours,Naturally,Seldom,Often,Other,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Intelligence,I'm not married
A2O0S4VYTR512D,311,Cuddalore,Male,26-30,Would,I will go to heaven or hell,Genes,Constantly,Work,Good,I do,4,Yes,Single,Tablet,Somewhat Independent,Nothing,Somewhat Lenient,Better health,None of my time,Very optimistic,4,Dad,Would,Youngest,Playmate,Somewhat trustworthy,Do,More,Work,Yes,Very safe,Jewelry,Yes,Barack Obama,4-6 hours,By my Child/Children,Seldom,Seldom,Being chased,Would,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Looks,21-30
AGWIOL7ZODTN3,408,Bangalore,Female,21-25,Would,My spirit will return to some universal entity,Proper diet,Constantly,Music/Art,Bad,I do,4,Yes,Living with boyfriend/girlfriend,SmartPhone,A little of both,Intelligence,Somewhat Lenient,More Money,Most of my time,Somewhat optimistic,1,Neither,Would not,Oldest,Mother or father,Somewhat trustworthy,Do not,The same,Home,No,Somewhat scary,Money,No,Barack Obama,6-8 hours,With an Alarm clock,Often,Often,Being unprepared for something,Would,No,No,Yes,Yes,No,Yes,Yes,Personality,I'm not married
A3FXLL8Y7P3MMH,1026,Secunderabad,Male,21-25,Would,I will go to heaven or hell,Proper diet,Sometimes,Music/Art,Bad,I do,4,No,Single,Computer,A little of both,Lifespan,Somewhat Lenient,More Money,Some of my time,Exactly in the middle,2,Mom,Would,Middle,I don't have a pet,Somewhat untrustworthy,Do,More,Home,Yes,Somewhat safe,Jewelry,No,Mitt Romney,6-8 hours,Naturally,Seldom,Seldom,Other,Would,No,No,No,No,No,Yes,Yes,Personality,I'm not married
AY13BA1JNU8C0,470,Tiruchirapalli,Male,21-25,Would not,My spirit will return to some universal entity,Environment,Once in a while,Work,Bad,I do,4,Yes,Single,Computer,Very Obedient,Intelligence,Exactly in the middle,Nothing - I'm all good,Not much of my time,Somewhat pessimistic,2,Both about equally,Would,I don't have siblings,Mother or father,Very trustworthy,Do,The same,Home,No,Somewhat scary,Other,No,Mitt Romney,4-6 hours,Naturally,Often,Often,Other,Would not,No,No,Yes,Yes,Yes,Yes,Yes,Nothing,I'm not married
A1Z709AG9MZXZC,305,Ollur,Male,21-25,Would not,I will go to heaven or hell,Religion,Sometimes,Family/friends,Bad,I do,2,No,Single,Newspapers/Magazines,A little of both,Intelligence,Exactly in the middle,Better health,Most of my time,Somewhat optimistic,2,Dad,Would,Oldest,I don't have a pet,Somewhat untrustworthy,Do,More,Home,Yes,Very safe,Electronics,Yes,Barack Obama,4-6 hours,With an Alarm clock,Often,Seldom,Being unprepared for something,Would not,No,Yes,Yes,Yes,No,Yes,I don't have a pet,Intelligence,I'm not married
A1XA2WJ50VR7KQ,879,Thiruvananthapuram kerala ,Female,26-30,Would,I will go to heaven or hell,Religion,Sometimes,Prayer,Bad,I do not,3,Yes,Single,Newspapers/Magazines,Somewhat Independent,Intelligence,Exactly in the middle,Nothing - I'm all good,Not much of my time,Exactly in the middle,3,Mom,Would,Youngest,Mother or father,Somewhat trustworthy,Do,More,I don't feel completely safe anywhere,Yes,Very scary,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Often,Other,Would not,Yes,No,Yes,No,No,Yes,Yes,Personality,I'm not married
A11ZWW3I9PHHI6,492,Kochi,Male,21-25,Would,I will be reincarnated,Proper diet,Sometimes,Music/Art,Bad,I do not,3,No,Single,Computer,Very Obedient,Lifespan,Somewhat Lenient,Better job,Not much of my time,Somewhat optimistic,2,Mom,Would,Oldest,I don't have a pet,Somewhat untrustworthy,Do not,More,Home,Yes,Somewhat safe,Money,No,Barack Obama,4-6 hours,With an Alarm clock,Often,Often,Other,Would,No,Yes,Yes,No,Yes,Yes,I don't have a pet,Nothing,I'm not married
A247JAPJZIFGN4,326,Pune,Female,46-50,Would,Nothing. Game over.,Proper diet,Constantly,Music/Art,Bad,I do,3,No,Married,TV,A little of both,Immunity,Somewhat Strict,Better health,Some of my time,Somewhat pessimistic,1,Dad,Would,Middle,I don't have a pet,Somewhat untrustworthy,Do,Less,Church/Temple/Mosque,Yes,Neither safe nor scary,Jewelry,No,Barack Obama,6-8 hours,Naturally,Never,Never,Other,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Intelligence,21-30
A3BTKQ79D1XG5K,133,Chennai,Male,26-30,Would,I will be reincarnated,Religion,Once in a while,Work,Good,I do,4,Yes,Married,Computer,Somewhat Independent,Appearance,Somewhat Lenient,Better Romance,Some of my time,Somewhat optimistic,3,Both about equally,Would,Oldest,Peer,Somewhat trustworthy,Do,More,Home,Yes,Somewhat safe,Money,Yes,Barack Obama,6-8 hours,By my Child/Children,Seldom,Often,Falling,Would,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sexual ability,21-30
A2CXI58V6EINGC,1415,Madurai,Female,31-35,Would not,Nothing. Game over.,Proper diet,Once in a while,Music/Art,Bad,I do not,2,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,Better Romance,Most of my time,Somewhat pessimistic,3,Dad,Would,Oldest,I don't have a pet,Somewhat untrustworthy,Do,More,I don't feel completely safe anywhere,Yes,Somewhat safe,Photo album,No,Barack Obama,4-6 hours,Naturally,Often,Seldom,Other,Would not,No,No,No,Yes,No,Yes,I don't have a pet,Nothing,21-30
A18BRF7SU88Y4,866,Madurai Tamilnadu / India,Female,31-35,Would,I will go to heaven or hell,Proper diet,Sometimes,Family/friends,Bad,I do,2,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,Nothing - I'm all good,Some of my time,Exactly in the middle,5+,Both about equally,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Very safe,Photo album,Yes,Barack Obama,6-8 hours,Naturally,Never,Seldom,Other,Would,No,Yes,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A18BRF7SU88Y4,871,Madurai Tamilnadu / India,Female,31-35,Would,I will go to heaven or hell,Proper diet,Sometimes,Family/friends,Bad,I do,2,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,Nothing - I'm all good,Some of my time,Exactly in the middle,5+,Both about equally,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Very safe,Photo album,Yes,Barack Obama,6-8 hours,Naturally,Never,Seldom,Other,Would,No,Yes,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A2EU4T1MTVJA77,1110,Karur / Tamilnadu / India,Male,51+,Would,My spirit will return to some universal entity,Environment,Constantly,Prayer,Bad,I do,2,Yes,Married,TV,A little of both,Nothing,Exactly in the middle,Nothing - I'm all good,Not much of my time,Exactly in the middle,3,Dad,Would,Youngest,Mother or father,Somewhat trustworthy,Do,The same,Home,Yes,Neither safe nor scary,Jewelry,No,Barack Obama,4-6 hours,With an Alarm clock,Never,Never,Flying,Would not,No,No,No,No,Yes,Yes,I don't have a pet,Sexual ability,Under 20
A32NFF6EM31R8P,546,Coimbatore,Male,26-30,Would,My spirit will return to some universal entity,Proper diet,Sometimes,Family/friends,Bad,I do,4,No,Single,Computer,A little of both,Intelligence,Somewhat Strict,Better job,Not much of my time,Exactly in the middle,2,Mom,Would,Youngest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,Less,Home,Yes,Somewhat safe,Other,No,Barack Obama,Less than 4 hours,Naturally,Seldom,Seldom,Other,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,I'm not married
A19WDMVG3H5WGI,729,"Thiruvananthapuram,( Kerala / India )",Male,51+,Would,I will go to heaven or hell,Proper diet,Sometimes,Music/Art,Bad,I do,3,No,Married,Newspapers/Magazines,Somewhat Independent,Intelligence,Very Strict,Nothing - I'm all good,Some of my time,Very optimistic,3,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do,The same,Home,Yes,Somewhat safe,Photo album,No,Barack Obama,4-6 hours,Naturally,Seldom,Seldom,Flying,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Personality,21-30
A12ABO48ZV09LR,884,Madurai and Tamil Nadu/ India,Male,41-45,Would,I will be reincarnated,Exercise,Sometimes,Exercise,Bad,I do,3,Yes,Married,TV,A little of both,Lifespan,Exactly in the middle,Better job,Some of my time,Exactly in the middle,4,Both about equally,Would,Middle,Playmate,Somewhat trustworthy,Do,More,Home,Yes,Very scary,Money,No,Barack Obama,6-8 hours,By a Family member,Often,Often,Other,Would,No,No,No,No,No,Yes,No,Nothing,21-30
A3TVHAWK05C3N,413,"Bangalore, Karnataka, India",Male,36-40,Would,I will go to heaven or hell,Proper diet,Constantly,Prayer,Bad,I do,3,No,Married,Newspapers/Magazines,A little of both,Lifespan,Very Strict,Better health,Not much of my time,Somewhat optimistic,1,Dad,Would,I don't have siblings,I don't have a pet,Somewhat trustworthy,Do,Less,Church/Temple/Mosque,Yes,Somewhat safe,Photo album,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Other,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Sexual ability,21-30
A3IAK62Q3GD5ET,179,Coimbatore,Male,21-25,Would,I will be reincarnated,Environment,Constantly,Exercise,Good,I do not,3,Yes,Divorced/Separated,Computer,A little of both,Intelligence,Very Strict,Better job,Not much of my time,Somewhat pessimistic,3,Dad,Would,Middle,Owner/master,Somewhat untrustworthy,Do,Less,I don't feel completely safe anywhere,No,Somewhat scary,Electronics,Yes,Barack Obama,More than 8 hours,By a Pet,Seldom,Often,Falling,Would not,No,No,No,No,No,Yes,No,Looks,21-30
A33HFM90E1E0W9,535,Manjeri Kerala,Male,21-25,Would,I will go to heaven or hell,Exercise,Sometimes,Prayer,Bad,I do,2,No,Single,Computer,Very Obedient,Immunity,Somewhat Strict,Better health,None of my time,Very pessimisitc,1,Both about equally,Would,Middle,Playmate,Neither trustworthy or untrustworthy,Do not,The same,Home,Yes,Very safe,Money,No,Barack Obama,6-8 hours,Naturally,Never,Seldom,Flying,Would,No,No,Yes,No,No,No,I don't have a pet,Personality,21-30
ATBP1JLSXDW0Y,96,india,Female,21-25,Would,I will be reincarnated,Proper diet,Once in a while,Work,Bad,I do,2,Yes,Married,SmartPhone,A little of both,Intelligence,Exactly in the middle,Better Romance,Not much of my time,Somewhat pessimistic,2,Mom,Would,Middle,Can-opener,Neither trustworthy or untrustworthy,Do,Less,Work,No,Very scary,Gun,Yes,Barack Obama,4-6 hours,Naturally,Seldom,Often,Falling,Would,Yes,Yes,No,Yes,No,No,No,Intelligence,31-40
A28X94EVR2KF12,997,Karura District,Male,21-25,Would,I will go to heaven or hell,Environment,Once in a while,Work,Good,I do,2,Yes,Married,Computer,Very Independent,Intelligence,Somewhat Strict,Nothing - I'm all good,Some of my time,Exactly in the middle,3,Mom,Would,Middle,Mother or father,Somewhat trustworthy,Do,More,Home,Yes,Very scary,Other,Yes,Barack Obama,More than 8 hours,Naturally,Seldom,Never,Other,Would,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Personality,21-30
A2YMLQGPGXGJ42,526,Solapur,Male,26-30,Would,My spirit will return to some universal entity,Exercise,Sometimes,Music/Art,Bad,I do not,4,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,Better job,Most of my time,Exactly in the middle,5+,Both about equally,Would not,Middle,Can-opener,Somewhat untrustworthy,Do not,The same,Home,Yes,Somewhat scary,Photo album,Yes,Barack Obama,6-8 hours,By a Family member,Never,Seldom,Being unprepared for something,Would not,No,No,Yes,No,Yes,Yes,No,Personality,21-30
A1BOVSJQXN0GWW,609,Ramanathapuram,Male,21-25,Would not,I will go to heaven or hell,Exercise,Constantly,Music/Art,Bad,I do,2,Yes,Single,Computer,Very Obedient,Intelligence,Somewhat Strict,Better health,Some of my time,Somewhat pessimistic,2,Both about equally,Would,Youngest,Mother or father,Somewhat untrustworthy,Do,More,Work,Yes,Somewhat scary,Money,No,Barack Obama,6-8 hours,Naturally,Seldom,Often,Being chased,Would,Yes,Yes,No,Yes,Yes,Yes,No,Intelligence,21-30
A2864S7IDJGBPU,274,Chennai,Male,26-30,Would,My spirit will return to some universal entity,Exercise,Constantly,Alcohol/Drugs,Good,I do,2,Yes,Single,Computer,A little of both,Intelligence,Exactly in the middle,Better health,Most of my time,Somewhat pessimistic,2,Both about equally,Would,Middle,Peer,Somewhat trustworthy,Do,Less,Work,Yes,Somewhat scary,Photo album,Yes,Barack Obama,6-8 hours,With an Alarm clock,Often,Seldom,Flying,Would,Yes,Yes,No,No,Yes,Yes,Yes,Intelligence,31-40
A2IDU0UXUWLZ7Z,191,Tiruchirapalli,Female,26-30,Would,Nothing. Game over.,Proper diet,Sometimes,Music/Art,Bad,I do,2,Yes,Married,Computer,Very Obedient,Immunity,Very Strict,Better health,All my time,Very pessimisitc,3,Mom,Would,Youngest,Playmate,Very untrustworthy,Do,Less,Work,Yes,Very scary,Photo album,Yes,Mitt Romney,4-6 hours,Naturally,Seldom,Often,Flying,Would,Yes,Yes,No,Yes,Yes,Yes,Yes,Intelligence,21-30
A1NIHDZN35YZFG,1236,New Delhi,Male,31-35,Would,I will go to heaven or hell,Proper diet,Sometimes,Exercise,Bad,I do,3,No,Single,TV,Somewhat Obedient,Nothing,Very Strict,Nothing - I'm all good,Some of my time,Somewhat pessimistic,5+,Both about equally,Would,Middle,I don't have a pet,Somewhat untrustworthy,Do,The same,Home,Yes,Neither safe nor scary,Other,No,Barack Obama,4-6 hours,Naturally,Seldom,Never,Other,Would not,No,No,Yes,Yes,No,Yes,I don't have a pet,Intelligence,I'm not married
A2804ZCK8030YA,892,Hyderabad,Male,Under 20,Would,I will go to heaven or hell,Proper diet,Constantly,Work,Bad,I do,3,Yes,Single,Computer,A little of both,Immunity,Very Strict,Nothing - I'm all good,Some of my time,Somewhat pessimistic,4,Mom,Would,Youngest,Owner/master,Somewhat untrustworthy,Do,More,Church/Temple/Mosque,Yes,Somewhat scary,Other,No,Barack Obama,4-6 hours,Naturally,Often,Often,Other,Would,Yes,Yes,No,No,No,No,I don't have a pet,Looks,21-30
ADC9DKQKY547L,527,Thiruvananthapuram,Male,21-25,Would not,I will go to heaven or hell,Exercise,Sometimes,Music/Art,Bad,I do,2,No,Single,TV,Somewhat Independent,Intelligence,Somewhat Strict,More Money,Some of my time,Exactly in the middle,2,Neither,Would,Oldest,Owner/master,Somewhat untrustworthy,Do,Less,Church/Temple/Mosque,Yes,Neither safe nor scary,Photo album,Yes,Barack Obama,6-8 hours,With an Alarm clock,Often,Seldom,Other,Would not,No,No,Yes,Yes,No,Yes,I don't have a pet,Personality,I'm not married
A1LBL2JB9DKJXI,725,Thiruvananthapuram,Female,21-25,Would,I will go to heaven or hell,Proper diet,Constantly,Family/friends,Bad,I do not,2,Yes,Single,Computer,Very Independent,Intelligence,Exactly in the middle,Nothing - I'm all good,Most of my time,Somewhat optimistic,5+,Both about equally,Would,I don't have siblings,Mother or father,Neither trustworthy or untrustworthy,Do,Less,Home,Yes,Neither safe nor scary,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Other,Would,No,No,No,No,No,Yes,No,Intelligence,I'm not married
A1HLUZ5TXZLB03,327,Madurai,Male,51+,Would,I will go to heaven or hell,Exercise,Sometimes,Work,Good,I do,2,Yes,Married,TV,Somewhat Independent,Appearance,Exactly in the middle,Better job,Some of my time,Somewhat pessimistic,2,Mom,Would,Oldest,Mother or father,Somewhat untrustworthy,Do,More,Church/Temple/Mosque,Yes,Somewhat scary,Money,Yes,Barack Obama,6-8 hours,With an Alarm clock,Often,Often,Being chased,Would,No,No,Yes,Yes,Yes,Yes,No,Intelligence,21-30
