Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
Franklin Massachusetts United States,male,40,would,I will go to heaven or hell,Exercise,At times,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,Nothing,3,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Mitt Romney,7,Alarm clock,Seldom,Seldom,Flying,Would,Have not,Do not,have,would,is not,is,No,Nothing,39,,
,male,40,would not,Nothing. Game over.,Exercise,At times,Exercise,bad,Do,2,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,20,Optimistic,1,Dad,would not,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,7,Naturally,Seldom,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,No,Nothing,99,,
San Francisco California United States,female,20,,,,,,,Do,,,,,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,,,,,,,,,,,,,,,,,
,male,26,would,Nothing. Game over.,Genes,At times,Family/Friends,bad,Do,2,did,Single,TV,,Intelligence,,Better romance,10,,2,Neither,would not,Oldest,Can-opener,,Do,,Home,,Do not,Electronics,Barack Obama,8,Naturally,Often,Often,Other,Would,Have not,Do not,have not,would,is,is,No,Nothing,0,,
Brooklyn New York United States,male,25,,,,,,,,,,,,Obedient,Immunity,Strict,Better health,8,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,,,,,,,,8,Family member,Seldom,Often,Being chased,Would not,Have not,Do not,,,,,,,,,
Milpitas California United States,male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,23,would not,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,bad,Do,3,did not,Single,Computer,Obedient,Lifespan,Strict,More money,9,Optimistic,1,Both about equally,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,7,Alarm clock,Never,Seldom,Being chased,Would not,Have not,Do not,have,would not,is not,is,Yes,Nothing,,,
,,,would,Nothing. Game over.,Exercise,At times,Prayer,good,,,did,Married,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,have not,would,is not,is,,Sexual ability,46,,
Kent,male,21,would not,I will go to heaven or hell,Exercise,Sometimes,Exercise,bad,Do,0,did,Single,SmartPhone,Obedient,Lifespan,Strict,Better romance,5,Optimistic,2,Dad,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Often,Never,Being unprepared,Would,Have,Do not,have not,would not,is not,is,No,Nothing,32,,
,male,27,would not,I will be reincarnated,Proper diet,At times,Work,bad,Do,2,did not,Single,Computer,Obedient,Intelligence,Strict,Nothing,3,Optimistic,2,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Money,Mitt Romney,7,Naturally,Never,Seldom,Other,Would,Have not,Do not,have,would not,is not,is not,,,,,
Hong Kong,male,25,would not,I will be reincarnated,Proper diet,At times,Music/Art,good,Do,2,did not,Cohabitating,SmartPhone,Obedient,Appearance,Strict,More money,10,Optimistic,2,Dad,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,,,,,,,,,,,,,,,,,
,male,26,would not,I will go to heaven or hell,Proper diet,Constantly,Work,bad,Do,0,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,Better job,,Optimistic,1,Both about equally,would,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Other,,6,Naturally,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,26,,
Sheung Wan,male,21,would not,Nothing. Game over.,Environment,At times,Exercise,bad,Do,4,did,Single,Computer,Obedient,Appearance,Strict,More money,4,Optimistic,2,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,7,Alarm clock,Often,Often,Being unprepared,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
,female,29,would,I will be reincarnated,Proper diet,Sometimes,Family/Friends,bad,Do,1,did,Married,SmartPhone,Obedient,Immunity,Strict,Better health,0,Optimistic,3,Mom,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have,would,is not,is,No,Nothing,24,,
Irvine California United States,male,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balne�rio De Cambori�,male,27,would,I will go to heaven or hell,Proper diet,Constantly,Family/Friends,good,,1,did not,Single,SmartPhone,,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S�nt?m?ria-Orlea Hunedoara Romania,male,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,female,24,would,My spirit will return home,Proper diet,Constantly,Alcohol/Drugs,good,,1,did,Married,Computer,,Nothing,,Better romance,0,,2,Neither,would not,Middle,I don't have a pet,,,,,,,,,,,,,,,,,,,,,,,,,
Leitchfield Kentucky United States,male,21,would,Nothing. Game over.,Genes,At times,Prayer,good,Do,1,did,Single,Other people,Obedient,Intelligence,Strict,More free time,10,Optimistic,1,Mom,would,Middle,Can-opener,Untrustworthy,Do,More,Work,Safe,Do,Other,Barack Obama,8,Alarm clock,Seldom,Often,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Personality,0,,
,,,would,I will go to heaven or hell,Exercise,Constantly,Music/Art,bad,Do,3,did,Married,SmartPhone,Obedient,Nothing,Strict,Better health,1,Optimistic,2,Neither,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,3,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have,would not,is not,is,Yes,Nothing,32,,
Olympia Fields Illinois United States,male,38,would,I will go to heaven or hell,Exercise,At times,Family/Friends,bad,Do,1,did not,Married,Computer,Obedient,Lifespan,Strict,Better health,1,Optimistic,2,Dad,would not,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,5,Naturally,Often,Seldom,Flying,Would not,Have,Do not,have,would,is not,is,Yes,Personality,30,,
,,,would,I will go to heaven or hell,Exercise,Constantly,Exercise,good,Do,10,did,Divorced,SmartPhone,Obedient,Intelligence,Strict,More money,15,Optimistic,1,Neither,would,Oldest,Peer,Untrustworthy,Do,More,Place of worship,Safe,Do,Electronics,Barack Obama,70,Alarm clock,Never,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,No,Nothing,31,,
,,,would,Nothing. Game over.,Proper diet,Sometimes,Exercise,good,Do,2,did not,Single,Tablet,,,,More money,12,,1,Neither,would not,Oldest,I don't have a pet,,Do,,Home,,Do not,Other,Barack Obama,6,Naturally,Seldom,Never,Other,Would,Have not,Do not,have,would,is not,is,,,,,
Barcelona Catalu� Espa�,male,33,would not,Nothing. Game over.,Genes,Sometimes,Exercise,good,Do,4,did,Single,SmartPhone,Obedient,Immunity,Strict,Better health,8,Optimistic,1,Both about equally,would not,I don't have any siblings,Can-opener,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,8,Naturally,Seldom,Seldom,Being chased,Would not,Have not,Do,have,would,is,is,No,Nothing,,,
Wonthella Western Australia Australia,male,25,would,Nothing. Game over.,Proper diet,At times,Family/Friends,bad,Do,2,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,2,Optimistic,2,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Intelligence,0,,
Sunnyvale California United States,male,31,would not,I will go to heaven or hell,Genes,Sometimes,Exercise,bad,,1,did,Married,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa Toscana Italia,male,29,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do not,1,did not,Cohabitating,Computer,Obedient,Intelligence,Strict,More free time,3,Optimistic,1,Dad,would not,Oldest,Owner,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have not,would not,is not,is not,No,All of the above,,,
Berkeley California United States,female,25,would,My spirit will return home,Exercise,Sometimes,Exercise,bad,Do not,1,did,Single,,Obedient,Immunity,Strict,More free time,20,Optimistic,1,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,I don't feel safe,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Often,Being chased,Would not,Have not,Do not,have not,would not,is not,is,No,Nothing,0,,
,male,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farsta  Sverige,male,25,would,Nothing. Game over.,Exercise,At times,Exercise,bad,Do,3,did,Single,Computer,Obedient,Immunity,Strict,More free time,12,Optimistic,1,Mom,would,Middle,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,8,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have,Do not,have,would not,is not,is,No,Sexual ability,0,,
Chicago Illinois United States,male,29,would,I will be reincarnated,Exercise,Never,Family/Friends,good,Do,3,did,Single,Computer,Obedient,Appearance,Strict,Better romance,16,Optimistic,1,Dad,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,32,,
Bangalore Karnataka India,male,32,would not,I will be reincarnated,Exercise,Sometimes,Prayer,bad,,3,did,Married,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,24,would,Nothing. Game over.,Genes,At times,Exercise,bad,Do,2,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,Better health,1,Optimistic,0,Mom,would not,I don't have any siblings,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Often,Other,Would,Have,Do not,,would,,is,No,,,,
,male,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Paulo S�o Paulo Brazil,male,25,would,Nothing. Game over.,Exercise,Never,Music/Art,good,Do,3,did not,Single,Computer,Obedient,Intelligence,Strict,More free time,12,Optimistic,2,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Never,Seldom,Naked in public,Would,Have not,Do not,have not,would,is not,is,No,Looks,0,,
,male,23,would,Nothing. Game over.,Exercise,Constantly,Exercise,bad,,3,did not,Single,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunderland Tyne and Wear United Kingdom,male,23,would,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McIntyre Georgia United States,male,20,would not,Nothing. Game over.,Proper diet,At times,Family/Friends,good,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,More money,3,Optimistic,2,Dad,would not,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Mitt Romney,9,Naturally,Seldom,Seldom,Other,Would,Have,Do not,have,would,is not,is not,Yes,,,,
Lincoln,male,34,would,I will go to heaven or hell,Religion,Sometimes,Prayer,bad,,2,did not,Married,TV,,,,,,,,,,,,,,,,,,,,5,Family member,Never,Often,Being chased,Would not,Have not,Do not,have not,would not,is not,is,Yes,All of the above,21,,
,male,22,would,Nothing. Game over.,Proper diet,Never,Exercise,bad,Do,2,did,Single,Computer,Obedient,Appearance,Strict,Better romance,3,Optimistic,0,Mom,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,I don't feel safe,Safe,Do not,Other,Barack Obama,,,,,,,,,have not,would not,is not,is,Yes,All of the above,,,
Folsom Louisiana United States,male,20,would,My spirit will return home,Environment,At times,Music/Art,good,Do,2,did,Single,SmartPhone,Obedient,Intelligence,Strict,More money,4,Optimistic,2,Dad,would not,Youngest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Naturally,Seldom,Seldom,Other,Would,Have,Do not,have not,would,is not,is,No,Nothing,0,,
,male,41,would,Nothing. Game over.,Proper diet,Never,Family/Friends,good,Do,1,did,Married,TV,Obedient,Nothing,Strict,Better health,2,Optimistic,2,Dad,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Work,Safe,Do,Gun,Mitt Romney,5,Alarm clock,Seldom,Often,Other,Would not,Have not,Do,have not,would,is not,is,No,Nothing,23,,
Birmingham West Midlands United Kingdom,male,27,would,Nothing. Game over.,Exercise,At times,Prayer,bad,Do,1,did,Married,Computer,,Immunity,,Nothing,2,,1,Mom,would not,Middle,I don't have a pet,,Do,,Place of worship,,Do,Other,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,23,,
,male,43,would,Nothing. Game over.,Exercise,At times,Exercise,bad,Do not,2,did,Married,SmartPhone,Obedient,Immunity,Strict,Better job,0,Optimistic,2,Dad,would not,Youngest,Mom or Dad,Untrustworthy,Do not,More,Work,Safe,Do not,Electronics,Barack Obama,6,Naturally,Seldom,Often,Being unprepared,Would,Have not,Do not,have not,would,is not,is not,No,Personality,39,,
Houston Texas United States,male,35,would,I will go to heaven or hell,Proper diet,Sometimes,Exercise,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More free time,4,Optimistic,2,Mom,would not,Middle,Can-opener,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,29,,
London,male,40,would not,My spirit will return home,Proper diet,At times,Music/Art,bad,Do,2,did,Single,SmartPhone,Obedient,Intelligence,Strict,Better romance,8,Optimistic,1,Mom,would not,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have,Do not,have,would,is not,is,No,Nothing,0,,
Jamaica Plain,male,44,would,Nothing. Game over.,Proper diet,At times,Music/Art,good,Do,3,did,Married,Computer,Obedient,Immunity,Strict,Better job,2,Optimistic,1,Mom,would not,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have not,would,is,is,No,Nothing,35,,
San Francisco California United States,female,20,would,My spirit will return home,Exercise,At times,Exercise,good,Do,2,did not,Single,Computer,Independent,Nothing,Strict,More free time,10,Optimistic,1,Neither,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,10,Alarm clock,Often,Seldom,Being chased,Would not,Have not,Do not,have,would not,is not,is,No,Nothing,25,,
,,,would not,I will go to heaven or hell,Religion,Sometimes,Alcohol/Drugs,good,Do not,1,did,Single,TV,Obedient,Intelligence,Strict,Better romance,0,Optimistic,1,Neither,would not,Middle,I don't have a pet,Untrustworthy,Do not,More,I don't feel safe,Safe,Do not,Money,Mitt Romney,7,Naturally,Never,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,29,,
G�teborg  Sweden,male,48,would,Nothing. Game over.,Exercise,At times,Exercise,good,Do,2,did not,Cohabitating,Computer,Obedient,Intelligence,Strict,Better romance,10,Optimistic,2,Neither,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Never,Never,Other,Would,Have not,Do not,have not,would,is,is not,Yes,Looks,0,,
,male,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have,would not,,is,,,,,
Metepec,male,24,would,My spirit will return home,Genes,Sometimes,Exercise,bad,Do,2,did,Single,SmartPhone,Obedient,Intelligence,Strict,Nothing,3,Optimistic,2,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,,I don't feel safe,Safe,Do not,Photo albums,Barack Obama,6,Alarm clock,Often,Often,Being chased,Would,Have,Do not,have,would,is not,is,Yes,Nothing,0,,
Omaha Nebraska United States,male,30,would,Nothing. Game over.,Genes,At times,Exercise,bad,Do,1,did,Married,SmartPhone,Obedient,Lifespan,Strict,More free time,8,Optimistic,2,Neither,would not,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would not,Have,Do not,have not,would not,is not,is,No,Nothing,25,,
??? ??? ????,male,31,would not,I will go to heaven or hell,Religion,At times,Music/Art,good,Do,3,did not,Single,SmartPhone,Obedient,Intelligence,Strict,Better health,13,Optimistic,2,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Place of worship,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Often,Often,Other,Would not,Have,Do,have not,would,is not,is not,Yes,All of the above,0,,
Ebina-shi,male,37,would,Nothing. Game over.,Environment,At times,Exercise,good,Do not,1,did,Married,Computer,Obedient,Immunity,Strict,More money,1,Optimistic,1,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Photo albums,Barack Obama,7,Alarm clock,Often,Often,Other,Would not,Have not,Do not,have,would,is not,is,No,Sexual ability,31,,
Bangalore Karnataka India,male,23,would not,Nothing. Game over.,Environment,Sometimes,Family/Friends,bad,Do,5,did not,Single,Computer,Obedient,Appearance,Strict,Better romance,13,Optimistic,2,Both about equally,would,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Other,Mitt Romney,8,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do,have,would not,is,is,Yes,Nothing,,,
,,,would,I will go to heaven or hell,,At times,Prayer,good,,3,did not,Single,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick New Jersey United States,female,19,would not,Nothing. Game over.,Proper diet,Sometimes,Exercise,good,Do,0,did not,Single,Computer,Obedient,Immunity,Strict,More money,7,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Naturally,Never,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
Ann Arbor Michigan United States,male,30,would not,Nothing. Game over.,Genes,Constantly,Alcohol/Drugs,good,Do,1,did not,Married,Computer,Obedient,Intelligence,Strict,Better health,4,Optimistic,1,Mom,would,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Being unprepared,Would,Have not,Do,have not,would,is not,is,Yes,Nothing,25,,
Salt Lake City,female,40,would,My spirit will return home,Proper diet,At times,Music/Art,good,Do,2,did,Single,Computer,Obedient,Intelligence,Strict,Nothing,15,Optimistic,1,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,6,Naturally,Often,Often,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,,,
Anacortes Washington United States,female,45,would not,Nothing. Game over.,Exercise,At times,Exercise,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More free time,2,Optimistic,1,Both about equally,would not,I don't have any siblings,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,7,Alarm clock,Never,Seldom,Being unprepared,Would,Have,Do not,have,would,is not,is not,No,Sexual ability,32,,
Newbury  United Kingdom,female,31,would,Nothing. Game over.,Genes,Never,Music/Art,bad,Do not,1,did not,Cohabitating,SmartPhone,Obedient,Immunity,Strict,Better health,0,Optimistic,1,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Other,,7,Family member,Never,Often,,Would,Have not,Do not,have,would,is,is,,Personality,,,
Atlanta,male,23,would,Nothing. Game over.,Proper diet,Sometimes,Exercise,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More free time,1,Optimistic,0,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,8,Alarm clock,Often,Seldom,Flying,Would,Have,Do not,have,would,is not,is,Yes,Nothing,,,
,male,28,would,Nothing. Game over.,Exercise,Sometimes,Exercise,good,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,Nothing,4,Optimistic,1,Both about equally,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would not,is not,is,Yes,Nothing,,,
Providence Rhode Island United States,male,40,would,I will be reincarnated,Exercise,Constantly,Exercise,good,Do,1,did,Married,TV,Obedient,Immunity,Strict,More free time,2,Optimistic,2,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,,,is not,,,,,,
Davis California United States,male,27,would,My spirit will return home,Proper diet,At times,Exercise,good,Do,1,did not,Single,Computer,Obedient,Intelligence,Strict,Better romance,12,Optimistic,0,Dad,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,9,Naturally,Often,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,All of the above,30,,
,,,would,Nothing. Game over.,Exercise,At times,Prayer,good,Do,40,did not,Cohabitating,Tablet,,,,,,,,,,,,Untrustworthy,Do,More,Home,,,,,,,,,,,,,,,,,,,,,
Raleigh North Carolina United States,female,30,would,My spirit will return home,Proper diet,At times,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More free time,1,Optimistic,2,Both about equally,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Seldom,Often,Other,Would not,Have,Do,have not,would,is not,is,Yes,Intelligence,29,,
Fort Myers Florida United States,male,42,would,I will go to heaven or hell,Proper diet,At times,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,Better job,4,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Naturally,Seldom,Seldom,Being chased,Would not,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,35,,
Valdagno Veneto Italy,female,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubenas Rh�ne-Alpes France,male,21,would not,Nothing. Game over.,Proper diet,At times,Music/Art,bad,Do,1,did,Single,Print media,,Immunity,,Better health,24,Optimistic,2,Neither,would not,Youngest,I don't have a pet,,Do,,I don't feel safe,Safe,Do not,Photo albums,Barack Obama,6,Naturally,Often,Seldom,Being unprepared,Would not,Have not,Do not,have,would,is not,is,No,Nothing,,,
Tlaquepaque Jalisco M�xico,male,42,would,Nothing. Game over.,Proper diet,At times,Exercise,bad,Do,2,did not,Single,Computer,Obedient,Nothing,Strict,Nothing,0,Optimistic,2,Both about equally,would,Oldest,Playmate,Untrustworthy,Do,More,I don't feel safe,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is,is,No,Looks,0,,
Bogot� Cundinamarca Colombia,male,23,would not,Nothing. Game over.,Exercise,At times,Music/Art,good,Do,3,did not,Single,Computer,Obedient,Intelligence,Strict,Nothing,8,Optimistic,3,Mom,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Family member,Seldom,Seldom,Other,Would not,Have,Do,have not,would,is not,is,No,Nothing,0,,
Mason Ohio United States,male,24,would,Nothing. Game over.,Exercise,At times,Music/Art,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More free time,18,Optimistic,1,Dad,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Mitt Romney,7,Alarm clock,Seldom,Never,Being unprepared,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,0,,
Louisville Kentucky United States,female,33,would not,I will go to heaven or hell,Genes,At times,Family/Friends,good,Do,2,did not,Married,SmartPhone,Obedient,Immunity,Strict,Better job,0,Optimistic,1,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do,More,I don't feel safe,Safe,Do,Other,Barack Obama,,,,,,,,,,,,,,,,,
San Francisco California United States,male,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidau Canton of Bern Switzerland,male,29,would not,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,3,did,Married,Tablet,Obedient,Immunity,Strict,More free time,3,Optimistic,2,Dad,would not,Middle,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have not,would not,is not,is,No,Nothing,26,,
,male,38,,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,2,did not,Married,SmartPhone,,Intelligence,,More free time,2,,2,Dad,would not,Youngest,I don't have a pet,,Do,,Home,,Do,Photo albums,Barack Obama,6,Child/Children,Never,Never,Other,Would not,Have not,Do not,have,would,is not,is not,Yes,Sexual ability,26,,
London Greater London United Kingdom,female,29,would,I will go to heaven or hell,Proper diet,At times,Family/Friends,bad,Do,3,did,Married,Computer,Obedient,Immunity,Strict,Better romance,2,Optimistic,2,Both about equally,would,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Child/Children,Often,Often,Being chased,Would not,Have not,Do,have not,would not,is not,is,Yes,Sexual ability,25,,
,male,37,would not,Nothing. Game over.,Proper diet,Sometimes,Music/Art,good,Do,2,did,Single,Tablet,Obedient,Intelligence,Strict,Better romance,5,Optimistic,2,Mom,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,5,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do,have,would,is not,is,Yes,Personality,0,,
